===Database dulich_web

== Table structure for table district

|------
|Column|Type|Null|Default
|------
|//**id**//|int(10)|No|
|_name|varchar(100)|Yes|NULL
|_prefix|varchar(20)|Yes|NULL
|_province_id|int(10)|Yes|NULL
== Dumping data for table district

|1|Binh Chanh|Huyen|1
|2|Binh Tan|Quan|1
|3|Binh Thanh|Quan|1
|4|Can Gio|Huyen|1
|5|Cu Chi|Huyen|1
|6|Go Vap|Quan|1
|7|Hoc Mon|Huyen|1
|8|Nha Be|Huyen|1
|9|Phu Nhuan|Quan|1
|10|Quan 1| |1
|11|Quan 10| |1
|12|Quan 11| |1
|13|Quan 12| |1
|14|Quan 2| |1
|15|Quan 3| |1
|16|Quan 4| |1
|17|Quan 5| |1
|18|Quan 6| |1
|19|Quan 7| |1
|20|Quan 8| |1
|21|Quan 9| |1
|22|Tan Binh|Quan|1
|23|Tan Phu|Quan|1
|24|Thu Duc|Quan|1
|25|Ba Dinh|Quan|2
|26|Ba Vi|Huyen|2
|27|Bac Tu Liem|Quan|2
|28|Cau Giay|Quan|2
|29|Chuong My|Huyen|2
|30|Dan Phuong|Huyen|2
|31|Dong Anh|Huyen|2
|32|Dong Da|Quan|2
|33|Gia Lam|Huyen|2
|34|Ha Dong|Quan|2
|35|Hai Ba Trung|Quan|2
|36|Hoai Duc|Huyen|2
|37|Hoan Kiem|Quan|2
|38|Hoang Mai|Quan|2
|39|Long Bien|Quan|2
|40|Me Linh|Huyen|2
|41|My Duc|Huyen|2
|42|Nam Tu Liem|Quan|2
|43|Phu Xuyen|Huyen|2
|44|Phuc Tho|Huyen|2
|45|Quoc Oai|Huyen|2
|46|Soc Son|Huyen|2
|47|Son Tay|Thi xa|2
|48|Tay Ho|Quan|2
|49|Thach That|Huyen|2
|50|Thanh Oai|Huyen|2
|51|Thanh Tri|Huyen|2
|52|Thanh Xuan|Quan|2
|53|Thuong Tin|Huyen|2
|54|Ung Hoa|Huyen|2
|55|Cam Le|Quan|3
|56|Hai Chau|Quan|3
|57|Hoa Vang|Huyen|3
|58|Hoang Sa|Huyen|3
|59|Lien Chieu|Quan|3
|60|Ngu Hanh Son|Quan|3
|61|Son Tra|Quan|3
|62|Thanh Khe|Quan|3
|63|Bau Bang|Huyen|4
|64|Ben Cat|Thi xa|4
|65|Dau Tieng|Huyen|4
|66|Di An|Thi xa|4
|67|Phu Giao|Huyen|4
|68|Tan Uyen|Huyen|4
|69|Thu Dau Mot|Thi xa|4
|70|Thuan An|Huyen|4
|71|Bien Hoa|Thanh pho|5
|72|Cam My|Huyen|5
|73|Dinh Quan|Huyen|5
|74|Long Khanh|Thi xa|5
|75|Long Thanh|Huyen|5
|76|Nhon Trach|Huyen|5
|77|Tan Phu|Quan|5
|78|Thong Nhat|Huyen|5
|79|Trang Bom|Huyen|5
|80|Vinh Cuu|Huyen|5
|81|Xuan Loc|Huyen|5
|82|Cam Lam|Huyen|6
|83|Cam Ranh|Thanh pho|6
|84|Dien Khanh|Huyen|6
|85|Khanh Son|Huyen|6
|86|Khanh Vinh|Huyen|6
|87|Nha Trang|Thanh pho|6
|88|Ninh Hoa|Thi xa|6
|89|Truong Sa|Huyen|6
|90|Van Ninh|Huyen|6
|91|An Duong|Huyen|7
|92|An Lao|Huyen|7
|93|Bach Long Vi|Huyen|7
|94|Cat Hai|Huyen|7
|95|Do Son|Quan|7
|96|Duong Kinh|Quan|7
|97|Hai An|Quan|7
|98|Hong Bang|Quan|7
|99|Kien An|Quan|7
|100|Kien Thuy|Huyen|7
|101|Le Chan|Quan|7
|102|Ngo Quyen|Quan|7
|103|Thuy Nguyen|Huyen|7
|104|Tien Lang|Huyen|7
|105|Vinh Bao|Huyen|7
|106|Ben Luc|Huyen|8
|107|Can Duoc|Huyen|8
|108|Can Giuoc|Huyen|8
|109|Chau Thanh|Huyen|8
|110|Duc Hoa|Huyen|8
|111|Duc Hue|Huyen|8
|112|Kien Tuong|Thi xa|8
|113|Moc Hoa|Huyen|8
|114|Tan An|Thanh pho|8
